observation_date,PCEPI
2020-07-01,104.564
2020-08-01,104.887
2020-09-01,105.046
2020-10-01,105.106
2020-11-01,105.225
2020-12-01,105.690
2021-01-01,106.083
2021-02-01,106.471
2021-03-01,107.032
2021-04-01,107.632
2021-05-01,108.184
2021-06-01,108.748
2021-07-01,109.275
2021-08-01,109.720
2021-09-01,110.047
2021-10-01,110.741
2021-11-01,111.510
2021-12-01,112.221
2022-01-01,112.776
2022-02-01,113.489
2022-03-01,114.489
2022-04-01,114.845
2022-05-01,115.542
2022-06-01,116.631
2022-07-01,116.662
2022-08-01,117.002
2022-09-01,117.377
2022-10-01,117.891
2022-11-01,118.221
2022-12-01,118.403
2023-01-01,119.007
2023-02-01,119.401
2023-03-01,119.553
2023-04-01,119.970
2023-05-01,120.140
2023-06-01,120.435
2023-07-01,120.598
2023-08-01,120.965
2023-09-01,121.387
2023-10-01,121.421
2023-11-01,121.415
2023-12-01,121.602
2024-01-01,122.115
2024-02-01,122.494
2024-03-01,122.912
2024-04-01,123.234
2024-05-01,123.224
2024-06-01,123.369
2024-07-01,123.575
2024-08-01,123.727
2024-09-01,123.939
2024-10-01,124.265
2024-11-01,124.399
2024-12-01,124.769
2025-01-01,125.239
2025-02-01,125.772
2025-03-01,125.791
2025-04-01,125.977
2025-05-01,126.172
2025-06-01,126.533
2025-07-01,126.783
