observation_date,CPN3M
2020-07-01,0.14
2020-08-01,0.12
2020-09-01,0.12
2020-10-01,0.11
2020-11-01,0.13
2020-12-01,0.13
2021-01-01,0.10
2021-02-01,0.08
2021-03-01,0.08
2021-04-01,0.06
2021-05-01,0.05
2021-06-01,0.05
2021-07-01,0.06
2021-08-01,0.06
2021-09-01,0.06
2021-10-01,0.06
2021-11-01,0.08
2021-12-01,0.13
2022-01-01,0.15
2022-02-01,0.21
2022-03-01,0.63
2022-04-01,0.87
2022-05-01,1.08
2022-06-01,1.07
2022-07-01,2.44
2022-08-01,2.57
2022-09-01,
2022-10-01,3.81
2022-11-01,4.25
2022-12-01,4.45
2023-01-01,4.56
2023-02-01,4.71
2023-03-01,4.86
2023-04-01,4.88
2023-05-01,5.10
2023-06-01,5.20
2023-07-01,
2023-08-01,5.34
2023-09-01,5.34
2023-10-01,5.38
2023-11-01,5.38
2023-12-01,5.36
2024-01-01,5.31
2024-02-01,
2024-03-01,5.32
2024-04-01,5.34
2024-05-01,
2024-06-01,5.32
2024-07-01,5.26
2024-08-01,5.12
2024-09-01,4.85
2024-10-01,4.61
2024-11-01,4.57
2024-12-01,4.43
2025-01-01,4.23
2025-02-01,4.27
2025-03-01,4.28
2025-04-01,4.32
2025-05-01,4.30
2025-06-01,4.32
2025-07-01,4.30
